ID,Titulo,PS4P,PS4S,PS5P,PS5S,URL
1114,Middle-earth: Shadow of War Definitive Edition,"9,00$",,,,https://image.api.playstation.com/cdn/UP1018/CUSA04439_00/OqChuTHT6ANrFH7PgjlOTelLPqmOBSMn.png?w=1024&
819,Minecraft,"15,00$",NULL,,"9,00$",https://image.api.playstation.com/vulcan/ap/rnd/202407/0401/670c294ded3baf4fa11068db2ec6758c63f7daeb266a35a1.png?w=1024&
1073,MLB The Show 23 PS4,13,10,,NULL,https://image.api.playstation.com/vulcan/ap/rnd/202301/2100/ksGvOUolBKzauHyiPalnLUKN.png?w=1024&
841,Mortal Kombat 1: Definitive Edition,ND,ND,18,,https://image.api.playstation.com/vulcan/ap/rnd/202505/0121/580864f66738607a1425a3d7814efb6ea609d0b035c368b5.png?w=1024&
841,Mortal Kombat 1: Definitive Edition,ND,ND,"27,00$",,https://image.api.playstation.com/vulcan/ap/rnd/202505/0121/580864f66738607a1425a3d7814efb6ea609d0b035c368b5.png?w=1024&
836,Mortal Kombat 11 Ultimate PS4 & PS5,22,,,,https://image.api.playstation.com/vulcan/ap/rnd/202010/0822/SbTOirUJUZ3oNQG0eGDZAuCr.png?w=1024&
836,Mortal Kombat 11 Ultimate PS4 & PS5,6,,?,,https://image.api.playstation.com/vulcan/ap/rnd/202010/0822/SbTOirUJUZ3oNQG0eGDZAuCr.png?w=1024&
836,Mortal Kombat 11 Ultimate PS4 & PS5,5,,"3,5",,https://image.api.playstation.com/vulcan/ap/rnd/202010/0822/SbTOirUJUZ3oNQG0eGDZAuCr.png?w=1024&
836,Mortal Kombat 11 Ultimate PS4 & PS5,6,,,,https://image.api.playstation.com/vulcan/ap/rnd/202010/0822/SbTOirUJUZ3oNQG0eGDZAuCr.png?w=1024&
836,Mortal Kombat 11 Ultimate PS4 & PS5,6,"2,5",,,https://image.api.playstation.com/vulcan/ap/rnd/202010/0822/SbTOirUJUZ3oNQG0eGDZAuCr.png?w=1024&
839,Mortal Kombat XL,5,5,,,https://image.api.playstation.com/cdn/UP1018/CUSA03589_00/ezdXAsaNqjRSG19ujCjT1p1KqoI67wDO.png?w=1024&
856,NBA 2K26 for PS5,,,"15,00$",,https://image.api.playstation.com/vulcan/ap/rnd/202506/2509/ec1eec85d9130210701491db769cb9874cc09f6512ebca20.png?w=1024&
856,NBA 2K26 for PS5,,,"21,00$",,https://image.api.playstation.com/vulcan/ap/rnd/202506/2509/ec1eec85d9130210701491db769cb9874cc09f6512ebca20.png?w=1024&
856,NBA 2K26 for PS5,,,"15,50$",,https://image.api.playstation.com/vulcan/ap/rnd/202506/2509/ec1eec85d9130210701491db769cb9874cc09f6512ebca20.png?w=1024&
